ID,Sex,Varsta,Tip_Localitate,Numar_Pasi_Zilnic,Tip_Ocupatie,Timp_Liber_Activ
1,Masculin,41,Rural,10667,Sedentar,0.4
2,Feminin,35,Urban,5730,Moderat_Activ,0.1
3,Feminin,41,Urban,8609,Sedentar,4.2
4,Feminin,18,Urban,9436,Sedentar,2.9
5,Masculin,36,Urban,5182,Sedentar,3.7
6,Masculin,45,Rural,7351,Activ,0.7
7,Masculin,62,Urban,1500,Student,0.4
8,Feminin,32,Urban,4939,Activ,0.0
9,Feminin,27,Rural,6868,Casnic/a,1.3
10,Feminin,32,Urban,4380,Moderat_Activ,2.7
11,Masculin,53,Rural,11581,Moderat_Activ,1.5
12,Feminin,44,Rural,3924,Pensionar,1.7
13,Feminin,32,Rural,6399,Sedentar,7.0
14,Masculin,47,Urban,7826,Casnic/a,1.3
15,Masculin,41,Urban,11103,Sedentar,2.2
16,Masculin,54,Rural,3910,Casnic/a,4.6
17,Masculin,29,Urban,10407,Sedentar,1.5
18,Feminin,35,Rural,7525,Pensionar,2.9
19,Masculin,34,Rural,5046,Activ,5.9
20,Masculin,18,Rural,8655,Casnic/a,9.0
21,Feminin,44,Urban,7997,Sedentar,0.5
22,Masculin,43,Urban,5999,Activ,7.8
23,Masculin,40,Rural,7674,Casnic/a,2.0
24,Masculin,36,Urban,6536,Activ,0.9
25,Masculin,18,Urban,7783,Activ,1.8
26,Feminin,33,Urban,9155,Activ,11.7
27,Masculin,34,Rural,11465,Moderat_Activ,2.0
28,Feminin,27,Rural,4405,Activ,1.2
29,Feminin,37,Urban,12832,Activ,3.0
30,Masculin,46,Urban,2619,Pensionar,0.8
31,Feminin,68,Rural,7120,Sedentar,0.2
32,Masculin,42,Rural,8970,Moderat_Activ,0.4
33,Masculin,43,Urban,8202,Casnic/a,0.4
34,Feminin,38,Urban,5943,Pensionar,0.5
35,Feminin,18,Rural,6979,Moderat_Activ,0.4
36,Feminin,39,Rural,6267,Activ,3.1
37,Masculin,40,Rural,6026,Moderat_Activ,0.6
38,Masculin,70,Rural,9624,Sedentar,1.3
39,Feminin,37,Urban,8392,Moderat_Activ,6.8
40,Masculin,44,Urban,5767,Moderat_Activ,1.9
41,Masculin,39,Rural,9748,Activ,3.3
42,Masculin,22,Rural,8268,Sedentar,0.6
43,Masculin,57,Rural,9532,Casnic/a,0.6
44,Feminin,51,Rural,9074,Casnic/a,0.1
45,Masculin,51,Urban,5427,Activ,0.6
46,Feminin,26,Urban,6099,Activ,1.0
47,Masculin,61,Rural,9368,Moderat_Activ,0.6
48,Feminin,18,Rural,9025,Student,0.3
49,Feminin,48,Rural,7447,Activ,0.4
50,Masculin,70,Rural,7793,Sedentar,1.9
51,Feminin,25,Rural,10694,Pensionar,0.7
52,Feminin,31,Urban,6021,Student,1.4
53,Feminin,41,Urban,8867,Pensionar,2.1
54,Feminin,32,Urban,6994,Student,3.5
55,Feminin,18,Urban,6955,Activ,0.1
56,Feminin,41,Urban,10246,Moderat_Activ,4.8
57,Masculin,24,Urban,9563,Pensionar,3.0
58,Masculin,47,Urban,9533,Pensionar,0.3
59,Masculin,26,Urban,10763,Sedentar,6.2
60,Masculin,63,Urban,7552,Sedentar,7.6
61,Masculin,28,Urban,9204,Moderat_Activ,0.2
62,Masculin,35,Urban,6724,Student,1.0
63,Feminin,52,Rural,8310,Casnic/a,4.9
64,Masculin,21,Urban,7174,Sedentar,4.1
65,Masculin,43,Urban,7742,Activ,0.6
66,Feminin,59,Urban,8987,Moderat_Activ,0.7
67,Masculin,18,Rural,5454,Casnic/a,1.4
68,Feminin,42,Urban,12730,Student,2.0
69,Masculin,43,Rural,4984,Student,2.9
70,Feminin,51,Urban,4464,Moderat_Activ,1.4
71,Feminin,21,Urban,10395,Moderat_Activ,1.9
72,Masculin,20,Urban,9479,Moderat_Activ,4.1
73,Masculin,47,Urban,9060,Sedentar,0.1
74,Feminin,44,Rural,9070,Pensionar,0.9
75,Feminin,43,Rural,7469,Student,3.7
76,Feminin,45,Rural,5256,Casnic/a,6.8
77,Feminin,29,Urban,7689,Casnic/a,2.2
78,Masculin,43,Urban,5807,Activ,2.3
79,Masculin,44,Rural,9937,Student,0.3
80,Masculin,29,Urban,7132,Pensionar,1.8
81,Feminin,67,Urban,5436,Student,2.3
82,Feminin,47,Urban,6696,Sedentar,0.8
83,Masculin,22,Urban,8532,Moderat_Activ,0.9
84,Masculin,49,Rural,6090,Sedentar,1.4
85,Masculin,25,Rural,5444,Casnic/a,0.1
86,Masculin,51,Rural,8109,Activ,1.2
87,Feminin,57,Urban,8112,Sedentar,0.7
88,Feminin,27,Urban,6232,Activ,1.2
89,Feminin,54,Urban,6322,Activ,0.4
90,Masculin,46,Urban,8080,Moderat_Activ,6.6
91,Masculin,52,Urban,3879,Sedentar,2.7
92,Feminin,68,Rural,3981,Activ,3.4
93,Feminin,36,Rural,5703,Activ,4.7
94,Feminin,28,Urban,6966,Student,2.1
95,Feminin,26,Rural,8277,Activ,0.3
96,Masculin,27,Rural,11188,Pensionar,2.3
97,Feminin,38,Urban,9644,Activ,2.7
98,Masculin,45,Rural,7100,Activ,4.1
99,Masculin,44,Urban,7452,Pensionar,1.7
100,Masculin,52,Urban,4993,Moderat_Activ,0.4
