ID,Varsta,Sex,Tip_Localitate,Tip_Cafea_Preferat,Numar_Cani_Pe_Zi,Ora_Consum_Dominanta,Buget_Luna_MDL,Loc_Achizitie
1,67,Masculin,Urban,Espresso,2,Pranz,273,Acasa_Boabe
2,22,Feminin,Urban,Latte,3,Dimineata,1891,Acasa_Boabe
3,47,Feminin,Urban,Cappucino,4,Dimineata,838,Cafenea
4,41,Masculin,Urban,Cappucino,2,Dimineata,328,Oficiu
5,20,Feminin,Rural,Americano,4,Dimineata,1025,Alte
6,28,Masculin,Urban,Espresso,3,Dimineata,1873,Cafenea
7,62,Masculin,Rural,Americano,1,Dimineata,873,Oficiu
8,21,Feminin,Rural,Espresso,5,Dimineata,900,Alte
9,43,Feminin,Urban,Cappucino,2,Dimineata,1217,Oficiu
10,44,Feminin,Rural,Cappucino,2,Dimineata,927,Cafenea
11,63,Masculin,Urban,Decaf,3,Pranz,1858,Oficiu
12,60,Feminin,Urban,Decaf,1,Dimineata,1406,Cafenea
13,44,Feminin,Urban,Espresso,3,Dimineata,1278,Oficiu
14,59,Masculin,Urban,Cappucino,2,Pranz,1287,Cafenea
15,68,Feminin,Urban,Decaf,2,Dimineata,1481,Oficiu
16,67,Feminin,Urban,Cappucino,5,Pranz,1637,Oficiu
17,23,Feminin,Urban,Latte,2,Pranz,655,Distributie_Automata
18,32,Masculin,Urban,Americano,2,Dimineata,445,Oficiu
19,47,Feminin,Urban,Cappucino,2,Pranz,2044,Oficiu
20,59,Feminin,Rural,Espresso,4,Dimineata,482,Distributie_Automata
21,54,Masculin,Rural,Latte,1,Dimineata,1559,Cafenea
22,54,Feminin,Urban,Cappucino,2,Dimineata,749,Oficiu
23,59,Feminin,Urban,Decaf,1,Dimineata,1527,Cafenea
24,54,Masculin,Rural,Latte,1,Seara,724,Acasa_Boabe
25,52,Masculin,Rural,Espresso,4,Dimineata,1463,Cafenea
26,40,Feminin,Rural,Espresso,3,Dimineata,1706,Supermarket
27,23,Feminin,Urban,Latte,2,Dimineata,1068,Distributie_Automata
28,21,Feminin,Urban,Americano,3,Dimineata,1142,Oficiu
29,35,Masculin,Urban,Espresso,2,Dimineata,2199,Cafenea
30,26,Feminin,Urban,Latte,5,Dimineata,1326,Oficiu
31,66,Masculin,Rural,Latte,5,Pranz,1778,Oficiu
32,46,Masculin,Rural,Espresso,2,Dimineata,1681,Distributie_Automata
33,30,Feminin,Urban,Latte,4,Dimineata,1478,Supermarket
34,64,Masculin,Rural,Decaf,3,Dimineata,1883,Oficiu
35,69,Masculin,Urban,Latte,2,Dimineata,1566,Oficiu
36,34,Masculin,Urban,Cappucino,2,Pranz,774,Distributie_Automata
37,62,Masculin,Urban,Espresso,2,Dimineata,809,Oficiu
38,49,Masculin,Rural,Americano,3,Dimineata,1374,Oficiu
