Data,Numar_Pasi_Mediu,Luna_An
2022-01-01,6468.66,2022-01
2022-02-01,6476.17,2022-02
2022-03-01,6998.93,2022-03
2022-04-01,7376.41,2022-04
2022-05-01,7110.21,2022-05
2022-06-01,7580.86,2022-06
2022-07-01,7482.4,2022-07
2022-08-01,7483.34,2022-08
2022-09-01,7351.14,2022-09
2022-10-01,7140.4,2022-10
2022-11-01,7107.28,2022-11
2022-12-01,6858.95,2022-12
2023-01-01,7000.57,2023-01
2023-02-01,7036.05,2023-02
2023-03-01,7184.16,2023-03
2023-04-01,7313.87,2023-04
2023-05-01,7593.48,2023-05
2023-06-01,7969.72,2023-06
2023-07-01,8015.14,2023-07
2023-08-01,7769.78,2023-08
2023-09-01,7814.9,2023-09
2023-10-01,7742.71,2023-10
2023-11-01,7209.59,2023-11
2023-12-01,7425.09,2023-12
