ID,Varsta,Sex,Tip_Localitate,Tip_Cafea_Preferat,Numar_Cani_Pe_Zi,Ora_Consum_Dominanta,Buget_Luna_MDL,Loc_Achizitie
1,18,Feminin,Urban,Latte,5,Dimineata,796,Supermarket
2,42,Feminin,Rural,Americano,2,Dimineata,497,Oficiu
3,60,Masculin,Rural,Decaf,4,Seara,1151,Oficiu
4,57,Feminin,Urban,Cappucino,3,Dimineata,276,Supermarket
5,59,Masculin,Rural,Latte,3,Pranz,1307,Supermarket
6,42,Masculin,Urban,Cappucino,3,Seara,2022,Supermarket
7,56,Feminin,Urban,Decaf,2,Dimineata,2407,Oficiu
8,52,Masculin,Urban,Espresso,2,Dimineata,2041,Supermarket
9,20,Masculin,Urban,Americano,2,Dimineata,1768,Distributie
10,67,Masculin,Urban,Espresso,3,Pranz,2025,Distributie
11,54,Feminin,Rural,Americano,1,Pranz,1908,Cafenea
12,61,Masculin,Urban,Americano,2,Pranz,1746,Oficiu
13,61,Masculin,Rural,Espresso,3,Dimineata,758,Supermarket
14,68,Masculin,Urban,Americano,3,Pranz,1362,Oficiu
15,47,Masculin,Rural,Espresso,3,Seara,340,Distributie
16,55,Masculin,Rural,Espresso,3,Dimineata,1086,Cafenea
17,51,Masculin,Urban,Americano,5,Seara,1678,Oficiu
18,29,Feminin,Rural,Latte,2,Pranz,1500,Cafenea
19,36,Masculin,Urban,Americano,2,Pranz,1143,Cafenea
20,54,Masculin,Rural,Latte,2,Dimineata,1443,Supermarket
21,61,Masculin,Urban,Decaf,2,Dimineata,1562,Supermarket
22,66,Masculin,Rural,Espresso,4,Dimineata,720,Alte
23,34,Feminin,Urban,Americano,2,Dimineata,265,Supermarket
24,27,Feminin,Urban,Latte,3,Dimineata,1412,Supermarket
25,66,Masculin,Rural,Decaf,2,Pranz,577,Oficiu
26,64,Masculin,Urban,Decaf,3,Seara,2227,Cafenea
27,29,Masculin,Urban,Latte,3,Pranz,2092,Alte
28,33,Feminin,Urban,Americano,2,Dimineata,1037,Oficiu
29,41,Feminin,Urban,Cappucino,2,Dimineata,962,Distributie
30,36,Feminin,Urban,Decaf,2,Dimineata,440,Cafenea
31,25,Masculin,Urban,Latte,1,Pranz,1050,Supermarket
32,48,Feminin,Urban,Americano,2,Pranz,1434,Supermarket
33,38,Masculin,Urban,Cappucino,1,Seara,1697,Distributie
34,34,Masculin,Rural,Espresso,2,Dimineata,1058,Cafenea
35,40,Masculin,Urban,Espresso,3,Seara,1668,Supermarket
36,54,Masculin,Urban,Americano,3,Pranz,2047,Alte
37,33,Feminin,Urban,Espresso,3,Dimineata,275,Oficiu
38,23,Feminin,Urban,Americano,1,Pranz,978,Supermarket
39,25,Masculin,Rural,Espresso,3,Dimineata,730,Cafenea
40,42,Feminin,Urban,Latte,2,Dimineata,2085,Alte
41,35,Feminin,Urban,Cappucino,2,Dimineata,1510,Cafenea
42,42,Feminin,Rural,Decaf,4,Dimineata,1390,Distributie
43,29,Feminin,Rural,Espresso,1,Dimineata,1425,Distributie
44,32,Feminin,Urban,Americano,3,Dimineata,1246,Cafenea
45,43,Feminin,Rural,Cappucino,3,Dimineata,345,Distributie
46,58,Feminin,Rural,Espresso,2,Dimineata,1114,Cafenea
47,62,Masculin,Urban,Decaf,2,Dimineata,2420,Supermarket
48,43,Masculin,Rural,Latte,2,Dimineata,1192,Distributie
49,64,Feminin,Rural,Latte,4,Dimineata,1662,Acasa
50,49,Masculin,Urban,Decaf,2,Dimineata,530,Oficiu
51,27,Feminin,Urban,Espresso,2,Dimineata,970,Oficiu
52,33,Masculin,Urban,Americano,2,Dimineata,993,Cafenea
53,24,Masculin,Rural,Latte,3,Dimineata,1784,Cafenea
54,34,Masculin,Rural,Espresso,1,Dimineata,682,Cafenea
55,40,Masculin,Rural,Americano,2,Pranz,1331,Cafenea
56,43,Feminin,Urban,Decaf,3,Dimineata,1659,Supermarket
57,38,Feminin,Urban,Espresso,4,Dimineata,1081,Supermarket
58,39,Feminin,Urban,Cappucino,2,Seara,921,Supermarket
59,24,Feminin,Urban,Latte,2,Pranz,1029,Cafenea
60,31,Masculin,Urban,Americano,2,Seara,1050,Oficiu
61,32,Feminin,Rural,Americano,3,Pranz,1655,Distributie
62,24,Feminin,Urban,Latte,2,Dimineata,1225,Supermarket
63,26,Feminin,Rural,Decaf,2,Dimineata,1878,Acasa
64,68,Masculin,Urban,Decaf,3,Dimineata,682,Acasa
65,65,Feminin,Urban,Decaf,3,Dimineata,1382,Cafenea
66,25,Feminin,Urban,Latte,2,Dimineata,2059,Distributie
67,67,Feminin,Urban,Americano,4,Dimineata,1562,Oficiu
68,40,Feminin,Rural,Americano,3,Dimineata,1746,Oficiu
69,46,Masculin,Urban,Americano,2,Pranz,1051,Supermarket
70,35,Feminin,Rural,Americano,1,Pranz,1168,Oficiu
71,48,Feminin,Urban,Americano,5,Dimineata,985,Supermarket
72,47,Masculin,Rural,Cappucino,1,Pranz,1300,Oficiu
73,69,Feminin,Urban,Decaf,2,Dimineata,917,Oficiu
74,56,Feminin,Rural,Espresso,1,Pranz,640,Distributie
75,52,Masculin,Rural,Espresso,3,Dimineata,1477,Oficiu
76,35,Masculin,Urban,Latte,2,Seara,1279,Distributie
77,59,Masculin,Urban,Americano,1,Pranz,1225,Cafenea
78,56,Masculin,Rural,Americano,1,Dimineata,1543,Cafenea
79,34,Masculin,Rural,Americano,1,Dimineata,462,Distributie
80,31,Feminin,Urban,Americano,3,Dimineata,2191,Supermarket
81,48,Masculin,Rural,Americano,3,Dimineata,1881,Cafenea
82,41,Masculin,Rural,Latte,2,Dimineata,1777,Cafenea
83,52,Feminin,Rural,Americano,2,Dimineata,1597,Cafenea
84,61,Feminin,Rural,Decaf,3,Dimineata,836,Alte
85,62,Masculin,Rural,Cappucino,1,Pranz,1390,Oficiu
86,51,Masculin,Urban,Latte,2,Seara,2321,Acasa
87,20,Masculin,Urban,Espresso,5,Dimineata,739,Oficiu
88,54,Feminin,Urban,Espresso,3,Dimineata,1494,Oficiu
89,60,Masculin,Rural,Espresso,2,Dimineata,1503,Supermarket
90,57,Feminin,Rural,Americano,2,Pranz,899,Oficiu
91,43,Feminin,Urban,Latte,2,Dimineata,574,Cafenea
92,40,Masculin,Rural,Americano,2,Seara,1754,Acasa
93,61,Feminin,Rural,Decaf,1,Pranz,1803,Distributie
94,56,Feminin,Urban,Decaf,1,Dimineata,1692,Supermarket
95,32,Masculin,Urban,Latte,1,Dimineata,1474,Alte
96,66,Feminin,Urban,Espresso,4,Pranz,948,Distributie
97,21,Feminin,Urban,Latte,3,Pranz,610,Distributie
98,46,Feminin,Urban,Espresso,1,Dimineata,1732,Cafenea
99,39,Feminin,Urban,Cappucino,1,Dimineata,951,Oficiu
100,42,Feminin,Urban,Espresso,3,Pranz,1367,Oficiu
